"Sensor","Date_Time","Date","Time","Count"
"Bourke Street Mall (North)",2020-07-01 03:00:00,2020-07-01,3,10
"Bourke Street Mall (South)",2020-07-01 03:00:00,2020-07-01,3,5
"Melbourne Central",2020-07-01 03:00:00,2020-07-01,3,48
"Town Hall (West)",2020-07-01 03:00:00,2020-07-01,3,79
"Princes Bridge",2020-07-01 03:00:00,2020-07-01,3,22
"Flinders Street Station Underpass",2020-07-01 03:00:00,2020-07-01,3,6
"Birrarung Marr",2020-07-01 03:00:00,2020-07-01,3,5
"Webb Bridge",2020-07-01 03:00:00,2020-07-01,3,NA
"Southern Cross Station",2020-07-01 03:00:00,2020-07-01,3,NA
"Victoria Point",2020-07-01 03:00:00,2020-07-01,3,1
"Waterfront City",2020-07-01 03:00:00,2020-07-01,3,2
"New Quay",2020-07-01 03:00:00,2020-07-01,3,NA
"Flagstaff Station",2020-07-01 03:00:00,2020-07-01,3,NA
"Sandridge Bridge",2020-07-01 03:00:00,2020-07-01,3,8
"State Library",2020-07-01 03:00:00,2020-07-01,3,NA
"Collins St (North)",2020-07-01 03:00:00,2020-07-01,3,13
"Collins Place (South)",2020-07-01 03:00:00,2020-07-01,3,4
"Collins Place (North)",2020-07-01 03:00:00,2020-07-01,3,5
"Chinatown-Swanston St (North)",2020-07-01 03:00:00,2020-07-01,3,16
"Chinatown-Lt Bourke St (South)",2020-07-01 03:00:00,2020-07-01,3,10
"Bourke St-Russell St (West)",2020-07-01 03:00:00,2020-07-01,3,NA
"Flinders St-Elizabeth St (East)",2020-07-01 03:00:00,2020-07-01,3,45
"Spencer St-Collins St (South)",2020-07-01 03:00:00,2020-07-01,3,19
"Spencer St-Collins St (North)",2020-07-01 03:00:00,2020-07-01,3,17
"Melbourne Convention Exhibition Centre",2020-07-01 03:00:00,2020-07-01,3,13
"QV Market-Elizabeth St (West)",2020-07-01 03:00:00,2020-07-01,3,18
"QV Market-Peel St",2020-07-01 03:00:00,2020-07-01,3,1
"The Arts Centre",2020-07-01 03:00:00,2020-07-01,3,27
"St Kilda Rd-Alexandra Gardens",2020-07-01 03:00:00,2020-07-01,3,2
"Lonsdale St (South)",2020-07-01 03:00:00,2020-07-01,3,19
"Lygon St (West)",2020-07-01 03:00:00,2020-07-01,3,18
"City Square",2020-07-01 03:00:00,2020-07-01,3,NA
"Flinders St-Spring St (West)",2020-07-01 03:00:00,2020-07-01,3,NA
"Flinders St-Spark La",2020-07-01 03:00:00,2020-07-01,3,4
"Southbank",2020-07-01 03:00:00,2020-07-01,3,17
"Queen St (West)",2020-07-01 03:00:00,2020-07-01,3,5
"Lygon St (East)",2020-07-01 03:00:00,2020-07-01,3,8
"Alfred Place",2020-07-01 03:00:00,2020-07-01,3,NA
"Lonsdale St-Spring St (West)",2020-07-01 03:00:00,2020-07-01,3,2
"Grattan St-Swanston St (West)",2020-07-01 03:00:00,2020-07-01,3,3
"Monash Rd-Swanston St (West)",2020-07-01 03:00:00,2020-07-01,3,NA
"Tin Alley-Swanston St (West)",2020-07-01 03:00:00,2020-07-01,3,3
"Little Collins St-Swanston St (East)",2020-07-01 03:00:00,2020-07-01,3,8
"Flinders La-Swanston St (West)",2020-07-01 03:00:00,2020-07-01,3,17
"Pelham St (South)",2020-07-01 03:00:00,2020-07-01,3,5
"Melbourne Central-Elizabeth St (East)",2020-07-01 03:00:00,2020-07-01,3,37
"QVM-Queen St (East)",2020-07-01 03:00:00,2020-07-01,3,3
"QVM-Therry St (South)",2020-07-01 03:00:00,2020-07-01,3,24
"Faraday St-Lygon St (West)",2020-07-01 03:00:00,2020-07-01,3,10
"QVM-Franklin St (North)",2020-07-01 03:00:00,2020-07-01,3,9
"Elizabeth St-Lonsdale St (South)",2020-07-01 03:00:00,2020-07-01,3,1
"Lincoln-Swanston (W)",2020-07-01 03:00:00,2020-07-01,3,1
"Elizabeth St-La Trobe St (East)",2020-07-01 03:00:00,2020-07-01,3,NA
"Lonsdale St - Elizabeth St (North)",2020-07-01 03:00:00,2020-07-01,3,8
"Bourke St Bridge",2020-07-01 03:00:00,2020-07-01,3,2
"Bourke St - Spencer St (North)",2020-07-01 03:00:00,2020-07-01,3,15
"RMIT Bld 80 - 445 Swanston Street",2020-07-01 03:00:00,2020-07-01,3,NA
"Flinders La-Swanston St (West) Temporary",2020-07-01 03:00:00,2020-07-01,3,NA
"RMIT Building 14",2020-07-01 03:00:00,2020-07-01,3,13
"380 Elizabeth St",2020-07-01 03:00:00,2020-07-01,3,25
"La Trobe St (North)",2020-07-01 03:00:00,2020-07-01,3,15
"231 Bourke St",2020-07-01 03:00:00,2020-07-01,3,9
"Royal Pde - Grattan St",2020-07-01 03:00:00,2020-07-01,3,4
"Bourke Street Mall (North)",2020-07-01 04:00:00,2020-07-01,4,5
"Bourke Street Mall (South)",2020-07-01 04:00:00,2020-07-01,4,10
"Melbourne Central",2020-07-01 04:00:00,2020-07-01,4,34
"Town Hall (West)",2020-07-01 04:00:00,2020-07-01,4,25
"Princes Bridge",2020-07-01 04:00:00,2020-07-01,4,51
"Flinders Street Station Underpass",2020-07-01 04:00:00,2020-07-01,4,17
"Birrarung Marr",2020-07-01 04:00:00,2020-07-01,4,16
"Webb Bridge",2020-07-01 04:00:00,2020-07-01,4,2
"Southern Cross Station",2020-07-01 04:00:00,2020-07-01,4,5
"Victoria Point",2020-07-01 04:00:00,2020-07-01,4,1
"Waterfront City",2020-07-01 04:00:00,2020-07-01,4,NA
"New Quay",2020-07-01 04:00:00,2020-07-01,4,NA
"Flagstaff Station",2020-07-01 04:00:00,2020-07-01,4,NA
"Sandridge Bridge",2020-07-01 04:00:00,2020-07-01,4,13
"State Library",2020-07-01 04:00:00,2020-07-01,4,NA
"Collins St (North)",2020-07-01 04:00:00,2020-07-01,4,11
"Collins Place (South)",2020-07-01 04:00:00,2020-07-01,4,7
"Collins Place (North)",2020-07-01 04:00:00,2020-07-01,4,3
"Chinatown-Swanston St (North)",2020-07-01 04:00:00,2020-07-01,4,3
"Chinatown-Lt Bourke St (South)",2020-07-01 04:00:00,2020-07-01,4,8
"Bourke St-Russell St (West)",2020-07-01 04:00:00,2020-07-01,4,NA
"Flinders St-Elizabeth St (East)",2020-07-01 04:00:00,2020-07-01,4,46
"Spencer St-Collins St (South)",2020-07-01 04:00:00,2020-07-01,4,14
"Spencer St-Collins St (North)",2020-07-01 04:00:00,2020-07-01,4,26
"Melbourne Convention Exhibition Centre",2020-07-01 04:00:00,2020-07-01,4,4
"QV Market-Elizabeth St (West)",2020-07-01 04:00:00,2020-07-01,4,29
"QV Market-Peel St",2020-07-01 04:00:00,2020-07-01,4,3
"The Arts Centre",2020-07-01 04:00:00,2020-07-01,4,46
"St Kilda Rd-Alexandra Gardens",2020-07-01 04:00:00,2020-07-01,4,5
"Lonsdale St (South)",2020-07-01 04:00:00,2020-07-01,4,20
"Lygon St (West)",2020-07-01 04:00:00,2020-07-01,4,4
"City Square",2020-07-01 04:00:00,2020-07-01,4,NA
"Flinders St-Spring St (West)",2020-07-01 04:00:00,2020-07-01,4,NA
"Flinders St-Spark La",2020-07-01 04:00:00,2020-07-01,4,1
"Southbank",2020-07-01 04:00:00,2020-07-01,4,9
"Queen St (West)",2020-07-01 04:00:00,2020-07-01,4,2
"Lygon St (East)",2020-07-01 04:00:00,2020-07-01,4,1
"Alfred Place",2020-07-01 04:00:00,2020-07-01,4,NA
"Lonsdale St-Spring St (West)",2020-07-01 04:00:00,2020-07-01,4,NA
"Grattan St-Swanston St (West)",2020-07-01 04:00:00,2020-07-01,4,3
"Monash Rd-Swanston St (West)",2020-07-01 04:00:00,2020-07-01,4,3
"Tin Alley-Swanston St (West)",2020-07-01 04:00:00,2020-07-01,4,3
"Little Collins St-Swanston St (East)",2020-07-01 04:00:00,2020-07-01,4,13
"Flinders La-Swanston St (West)",2020-07-01 04:00:00,2020-07-01,4,30
"Pelham St (South)",2020-07-01 04:00:00,2020-07-01,4,5
"Melbourne Central-Elizabeth St (East)",2020-07-01 04:00:00,2020-07-01,4,22
"QVM-Queen St (East)",2020-07-01 04:00:00,2020-07-01,4,1
"QVM-Therry St (South)",2020-07-01 04:00:00,2020-07-01,4,28
"Faraday St-Lygon St (West)",2020-07-01 04:00:00,2020-07-01,4,NA
"QVM-Franklin St (North)",2020-07-01 04:00:00,2020-07-01,4,4
"Elizabeth St-Lonsdale St (South)",2020-07-01 04:00:00,2020-07-01,4,1
"Lincoln-Swanston (W)",2020-07-01 04:00:00,2020-07-01,4,NA
"Elizabeth St-La Trobe St (East)",2020-07-01 04:00:00,2020-07-01,4,NA
"Lonsdale St - Elizabeth St (North)",2020-07-01 04:00:00,2020-07-01,4,1
"Bourke St Bridge",2020-07-01 04:00:00,2020-07-01,4,2
"Bourke St - Spencer St (North)",2020-07-01 04:00:00,2020-07-01,4,18
"RMIT Bld 80 - 445 Swanston Street",2020-07-01 04:00:00,2020-07-01,4,NA
"Flinders La-Swanston St (West) Temporary",2020-07-01 04:00:00,2020-07-01,4,NA
"RMIT Building 14",2020-07-01 04:00:00,2020-07-01,4,7
"380 Elizabeth St",2020-07-01 04:00:00,2020-07-01,4,38
